			4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26																																		
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
		Beast Starting AP												Beast Experiment Bonuses Start																																													
NPC Name	Role	Level	HP	STM	FP	MGT	PER	VIT	WIL	AGI	SOC	Acc Stat	Att Stat	Attack Bonus	Accuracy Bonus	Evasion Bonus	Physical DEF Bonus	Force DEF Bonus	Fire DEF	Ice DEF	Poison DEF	Electrical DEF	Fortitude Bonus	Will Bonus	Reflex Bonus	Enum	Appearance Enum	Portrait Id	Sound Set Id	Scaling %	Incubation?	Mutation 1	Mutation 1 Weight	Mutation 1 Lyase Color	Mutation 1 Isomerase Color	Mutation 1 Hydrolase Color	Mutation 1 Lyase Count	Mutation 1 Isomerase Count	Mutation 1 Hydrolase Count	Mutation 1 Days	Mutation 2	Mutation 2 Weight	Mutation 2 Lyase Color	Mutation 2 Isomerase Color	Mutation 2 Hydrolase Color	Mutation 2 Lyase Count	Mutation 2 Isomerase Count	Mutation 2 Hydrolase Count	Mutation 2 Days	Weapon Damage	Base Damage	Attack	Physical DEF	Force DEF	Accuracy	Evasion	Fortitude	Will	Reflex
Aradile	Bruiser	1	50	6	6	18	7	19	12	10	7	VIT	MGT	1	0	0	1	0	0	0	0	0	0	0	0	Aradile	LizardGiantBrownCCP	4279	442	1	N	Bearbug	10	Blue			1				Wraid	50								Bruiser0	8	29	38	27	58	31	4	1	0
Crystal Spider	Force	1	20	2	2	14	6	14	14	17	7	AGI	WIL	0	0	0	0	1	0	0	0	1	0	0	0	CrystalSpider	SpiderCrystalBCCCPLUSHHYENAofDOOM	300	88	0.75	N	RazorhideHound	50								Tukata	10		Blue	Orange		1	1		Force0	6	24	30	31	52	52	2	2	0
Gimpassa	Force	1	20	2	2	13	3	17	15	15	8	VIT	WIL	0	0	0	0	1	0	0	0	1	0	0	0	Gimpassa	TortoiseMediumCCP	1039	452	1	N	JuvenileRancor	5	Orange	Orange	Orange	1	1	1		Cragscale	30	Red	Red		2	1			Force0	6	25	34	32	52	46	3	2	0
Jungle Bug	Evasion	1	30	3	3	17	11	11	7	21	5	MGT	AGI	0	0	1	0	0	0	0	0	0	0	0	0	JungleBug	InsectWaspGiantShadowM	2067	6	1	N	StingingSwarm	30								RoyalPlumage	10							S	Evasion0	6	31	25	19	52	65	0	0	0
Kath Hound	Damage	1	30	5	5	16	13	13	5	13	13	AGI	MGT	1	1	0	0	0	0	0	0	0	0	0	0	KathHound	SWLORKathHound	321	919	1	N	HornedKathHound	50								Hanadak	10	Black	Yellow	Purple	1	1	1		Damage0	8	27	28	16	41	40	1	0	1
K'lor'slug	Tank	1	70	4	4	15	12	19	9	10	7	VIT	MGT	0	0	0	1	1	0	0	0	0	0	0	0	Klorslug	BuletteSmallUndeadPLUSHHYENAofDOOM	819	396	0.66	N	Dreamwalker	10			White			3		DeepwoodsRager	20								Tank0	6	25	38	23	58	31	4	0	1
