"Verdict","Scope","Tab","BibleRow","Style","BiblePrice","CodePrice","PerkName","BibleSkillRequirements","CodeRequirements","BibleCharacterType","BibleType","BiblePrimaryStat","BibleSecondaryStat","BibleScalingSource","BibleCrossSkill","BibleFP","BibleSTM","BibleCastingTime","BibleCooldownTime","BibleDevStatus","BibleAdditionalRequirements","BibleNotes","BibleDescription","CodeDescription","CodePerk","GrantedFeats","AbilityEvidence","FeatDescriptionEvidence","SpellDescriptionEvidence","Findings"
"PASS","Scoped implemented","Armor","8","General","2.0","2","Provoke I","Armor 5","Armor 5","All","Combat","VIT","None","Explicit Code","","-","-","1 second","6 seconds","Implemented","No","Replaced by Provoke II at rank 2; lower-rank active ability feat is removed. Droid instruction AI slots: 1.","Goads a single target into attacking you. Enmity generated increases by 1% per VIT.","Goads a single target into attacking you. Enmity generated increases by 1% per VIT.","Provoke/General/Provoke rank 1","Provoke1","Provoke1: ProvokeAbilityDefinition.cs name='Provoke I' level=1 skill=Invalid activation=Casted FP=- STM=- cast=1 cooldown=6","Provoke1: PASS exact Bible text TLK 82924","Provoke1: PASS exact Bible text TLK 82924",""
"PASS","Scoped implemented","Armor","9","General","3.0","3","Provoke II","Armor 15","Armor 15","All","Combat","VIT","None","Explicit Code","","-","-","1 second","12 seconds","Implemented","No","Replacement tier: selected target must receive the full single-target effect before nearby enemies are added. Droid instruction AI slots: 2.","Goads the selected target and all other enemies within 8m of it into attacking you.
Enmity generated increases by 1% per VIT.","Goads the selected target and all other enemies within 8m of it into attacking you. Enmity generated increases by 1% per VIT.","Provoke/General/Provoke rank 2","Provoke2","Provoke2: ProvokeAbilityDefinition.cs name='Provoke II' level=2 skill=Invalid activation=Casted FP=- STM=- cast=1 cooldown=12","Provoke2: PASS exact Bible text TLK 82926","Provoke2: PASS exact Bible text TLK 82926",""
"PASS","Scoped implemented","Armor","10","General","2.0","2","Dual Wield I","Armor 5","Armor 5","All","Trait","None","None","None","","-","-","-","-","Implemented","","Mixed weapon types are valid; legal off-hand behavior is handled by the combat system.","Off-hand attack delay is reduced by 10% when making off-hand attacks.","Off-hand attack delay is reduced by 10% when making off-hand attacks.","DualWield/General/Dual Wield rank 1","DualWieldTrait","DualWieldTrait: no active ability definition","DualWieldTrait: PASS exact Bible text TLK 4067","-",""
"PASS","Scoped implemented","Armor","11","General","3.0","3","Dual Wield II","Armor 25","Armor 25","All","Trait","None","None","None","","-","-","-","-","Implemented","","Mixed weapon types are valid; legal off-hand behavior is handled by the combat system.","Off-hand attack delay is reduced by 20% total when making off-hand attacks.","Off-hand attack delay is reduced by 20% total when making off-hand attacks.","DualWield/General/Dual Wield rank 2","","-","-","-",""
"PASS","Scoped implemented","Armor","12","General","4.0","4","Dual Wield III","Armor 40","Armor 40","All","Trait","None","None","None","","-","-","-","-","Implemented","","Mixed weapon types are valid; legal off-hand behavior is handled by the combat system.","Off-hand attack delay is reduced by 30% total when making off-hand attacks.","Off-hand attack delay is reduced by 30% total when making off-hand attacks.","DualWield/General/Dual Wield rank 3","","-","-","-",""
"PASS","Scoped implemented","Armor","13","General","2.0","2","Alertness I","Armor 5","Armor 5","All","Trait","None","None","None","","-","-","-","-","Implemented","","Counter to Espionage Stealth for characters without Espionage investment. Flat Detection: at equal SP a dedicated stealth build wins the opposed check; Detection equipment and Detect mode close the gap.","Increases Detection by 10, improving your chance to notice stealthed creatures.","Increases Detection by 10, improving your chance to notice stealthed creatures.","Alertness/General/Alertness rank 1","AlertnessTrait","AlertnessTrait: no active ability definition","AlertnessTrait: PASS exact Bible text TLK 6100","-",""
"PASS","Scoped implemented","Armor","14","General","3.0","3","Alertness II","Armor 25","Armor 25","All","Trait","None","None","None","","-","-","-","-","Implemented","","Counter to Espionage Stealth for characters without Espionage investment. Flat Detection: at equal SP a dedicated stealth build wins the opposed check; Detection equipment and Detect mode close the gap.","Increases Detection by 15, improving your chance to notice stealthed creatures.","Increases Detection by 15, improving your chance to notice stealthed creatures.","Alertness/General/Alertness rank 2","","-","-","-",""
"PASS","Scoped implemented","Armor","15","General","4.0","4","Alertness III","Armor 40","Armor 40","All","Trait","None","None","None","","-","-","-","-","Implemented","","Counter to Espionage Stealth for characters without Espionage investment. Flat Detection: at equal SP a dedicated stealth build wins the opposed check; Detection equipment and Detect mode close the gap.","Increases Detection by 20, improving your chance to notice stealthed creatures.","Increases Detection by 20, improving your chance to notice stealthed creatures.","Alertness/General/Alertness rank 3","","-","-","-",""
"PASS","Scoped implemented","Vibroblade","9","Frenzy","2.0","2","Riot Blade I","Vibroblade 2","Vibroblade 2","All","Combat","MGT","PER","Combat Formula","Yes","-","3.0","Queued","18 seconds","Implemented","","","On your next hit, deal weapon DMG + 10.","On your next hit, deal weapon DMG + 10.","RiotBlade/VibrobladeOffense/Riot Blade rank 1","RiotBlade1","RiotBlade1: RiotBladeAbilityDefinition.cs name='Riot Blade I' level=1 skill=Vibroblade activation=Weapon FP=- STM=3 cast=0 cooldown=18","RiotBlade1: PASS exact Bible text TLK 1624","RiotBlade1: PASS exact Bible text TLK 1624",""
"PASS","Scoped implemented","Vibroblade","10","Frenzy","2.0","2","Executioner I","Vibroblade 5","Vibroblade 5","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Deal +8% damage to targets below 25% HP.","Deal +8% damage to targets below 25% HP.","Executioner/VibrobladeOffense/Executioner rank 1","ExecutionerTrait","ExecutionerTrait: no active ability definition","ExecutionerTrait: PASS exact Bible text TLK 4205","-",""
