"AuditType","Tab","Row","Name","PerkType","File","Style","Price","Requirements","CharType","Type","PrimaryStat","SecondaryStat","ScalingSource","DevStatus","Description","Details"
"MissingAbilityDefinition","Beast Mastery","100","Alpha Rhythm","","","Balanced","5.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","For 15 seconds, the beast deals 10% more damage and takes 10% less damage, and its master gains +8% physical and force ability hit chance.",""
"MissingAbilityDefinition","Beast Mastery","102","Poison Breath I","","","Bruiser","2.0","5.0","Beast","Combat","MGT","PER","Design Only","Design","The beast breathes poison at hostile targets in a cone, dealing poison DMG and attempting inflicts Poison.",""
"MissingAbilityDefinition","Beast Mastery","103","Ice Breath I","","","Bruiser","2.0","8.0","Beast","Combat","MGT","PER","Design Only","Design","The beast breathes ice at hostile targets in a cone, dealing ice DMG and slowing affected enemies for 4 seconds.",""
"MissingAbilityDefinition","Beast Mastery","104","Crushing Slam I","","","Bruiser","3.0","12.0","Beast","Combat","MGT","PER","Design Only","Design","The beast slams nearby hostile enemies for physical DMG and daze for 2 seconds.",""
"MissingAbilityDefinition","Beast Mastery","106","Poison Breath II","","","Bruiser","3.0","18.0","Beast","Combat","MGT","PER","Design Only","Design","The beast breathes poison at hostile targets in a cone, dealing increased poison DMG and attempting inflicts Poison.",""
"MissingAbilityDefinition","Beast Mastery","108","Ice Breath II","","","Bruiser","2.0","25.0","Beast","Combat","MGT","PER","Design Only","Design","The beast breathes ice at hostile targets in a cone, dealing increased ice DMG and slowing affected enemies for 5 seconds.",""
"MissingAbilityDefinition","Beast Mastery","109","Crushing Slam II","","","Bruiser","4.0","28.0","Beast","Combat","MGT","PER","Design Only","Design","The beast slams nearby hostile enemies for physical DMG and daze for 2 seconds.",""
"MissingAbilityDefinition","Beast Mastery","111","Rampage I","","","Bruiser","4.0","35.0","Beast","Combat","MGT","PER","Design Only","Design","The beast attacks up to 3 nearby hostile enemies for physical DMG.",""
"MissingAbilityDefinition","Beast Mastery","112","Poison Breath III","","","Bruiser","3.0","38.0","Beast","Combat","MGT","PER","Design Only","Design","The beast breathes poison at hostile targets in a cone, dealing high poison DMG and attempting inflicts Poison.",""
"MissingAbilityDefinition","Beast Mastery","114","Ice Breath III","","","Bruiser","4.0","42.0","Beast","Combat","MGT","PER","Design Only","Design","The beast breathes ice at hostile targets in a cone, dealing high ice DMG and immobilizing for 2 seconds.",""
"MissingAbilityDefinition","Beast Mastery","115","Crushing Slam III","","","Bruiser","4.0","45.0","Beast","Combat","MGT","PER","Design Only","Design","The beast slams nearby hostile enemies for physical DMG and daze for 3 seconds.",""
"MissingAbilityDefinition","Beast Mastery","117","Rampage II","","","Bruiser","3.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast attacks up to 4 nearby hostile enemies for physical DMG.",""
"MissingAbilityDefinition","Beast Mastery","118","Primal Overrun","","","Bruiser","5.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast deals heavy physical DMG to nearby hostile enemies and deals 12% more damage for 15 seconds.",""
"MissingAbilityDefinition","Beast Mastery","120","Evasive Maneuver I","","","Evasion","2.0","5.0","Beast","Combat","MGT","PER","Design Only","Design","The beast gains +6% evasion chance for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","121","Assault I","","","Evasion","2.0","8.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +10 physical DMG and grants +6% evasion chance for 10 seconds.",""
"MissingAbilityDefinition","Beast Mastery","122","Distracting Feint I","","","Evasion","3.0","12.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack reduces target physical and force ability hit chance by 6% for 15 seconds and generates extra enmity.",""
"MissingAbilityDefinition","Beast Mastery","123","Evasive Challenge I","","","Evasion","3.0","15.0","Beast","Combat","MGT","PER","Design Only","Design","The beast goads a single target, gains +8% evasion chance for 8 seconds, and restores 1 STM the next time it evades during the effect.",""
"MissingAbilityDefinition","Beast Mastery","124","Evasive Maneuver II","","","Evasion","3.0","18.0","Beast","Combat","MGT","PER","Design Only","Design","The beast gains +10% evasion chance for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","126","Assault II","","","Evasion","2.0","25.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +20 physical DMG and grants +10% evasion chance for 10 seconds.",""
"MissingAbilityDefinition","Beast Mastery","127","Distracting Feint II","","","Evasion","4.0","28.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack reduces target hit chance and evasion chance by 8% for 15 seconds and generates extra enmity.",""
"MissingAbilityDefinition","Beast Mastery","129","Evasive Challenge II","","","Evasion","4.0","35.0","Beast","Combat","MGT","PER","Design Only","Design","The beast goads nearby enemies, removes movement slow, gains +14% evasion chance for 8 seconds, and restores 1 STM the next time it evades during the effect.",""
