"Type","Key","DisplayName","SemanticCategory","Rank","IconResRef","SourcePath","Alignment"
"Ability","AbsoluteDefense1","AbsoluteDefense1","Beneficial","1","ife_absdefense1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AbsoluteImmortality1","AbsoluteImmortality1","Harmful","1","ife_absimmort1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AdamantineGuard1","AdamantineGuard1","Self","1","ife_adamguard1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AdhesiveGrenade1","AdhesiveGrenade1","Control","1","ife_adhgrnd1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AdhesiveGrenade2","AdhesiveGrenade2","Control","2","ife_adhgrnd2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AdrenalStim1","AdrenalStim1","Beneficial","1","ife_adrenalstim1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AdrenalStim2","AdrenalStim2","Beneficial","2","ife_adrenalstim2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AdrenalStim3","AdrenalStim3","Beneficial","3","ife_adrenalstim3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AegisEternal1","AegisEternal1","Self","1","ife_aegisetern","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AimedShot1","AimedShot1","Harmful","1","ife_aimedshot1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AimedShot2","AimedShot2","Harmful","2","ife_aimedshot2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AimedShot3","AimedShot3","Harmful","3","ife_aimedshot3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AimedShot4","AimedShot4","Harmful","4","ife_aimedshot4","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AlphaRhythm1","AlphaRhythm1","Harmful","1","ife_alpharhythm1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AnalyzerMemoryTrait","AnalyzerMemoryTrait","Passive","","ife_anlyzr_mem","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Anger1","Anger1","Harmful","1","ife_anger1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Anger2","Anger2","Harmful","2","ife_anger2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Antitoxin1","Antitoxin1","Beneficial","1","ife_antitoxin1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ApexBite1","ApexBite1","Harmful","1","ife_apexbite1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ApexCollapse","ApexCollapse","Harmful","","ife_apexcoll","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ApexCollapseTechnique","Apex Collapse","Self","","ife_mapexcoll","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ArcProjector1","ArcProjector1","Harmful","1","ife_arcprjctr1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ArcProjector2","ArcProjector2","Harmful","2","ife_arcprjctr2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ArcProjector3","ArcProjector3","Harmful","3","ife_arcprjctr3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ArcPulseTechnique","ArcPulseTechnique","Harmful","","ife_arc_pulse","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","AssassinsStance1","AssassinsStance1","Self","1","ife_assnstnc1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Assault1","Assault1","Harmful","1","ife_asslt1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Assault2","Assault2","Harmful","2","ife_assault2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Assault3","Assault3","Harmful","3","ife_assault3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Backstab1","Backstab1","Harmful","1","ife_backstab1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Backstab2","Backstab2","Harmful","2","ife_backstab2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Backstab3","Backstab3","Harmful","3","ife_backstab3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BarbedVolleyTechnique","BarbedVolleyTechnique","Harmful","","ife_barb_volley","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BastionStance1","BastionStance1","Self","1","ife_bstnstnc1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Benevolence1","Benevolence1","Beneficial","1","ife_benevolence1","SWLOR_Haks\sw_2da\feat.2da","Light"
"Ability","Benevolence2","Benevolence2","Beneficial","2","ife_benevolence2","SWLOR_Haks\sw_2da\feat.2da","Light"
"Ability","Benevolence3","Benevolence3","Beneficial","3","ife_benevolence3","SWLOR_Haks\sw_2da\feat.2da","Light"
"Ability","BerserkerStance1","BerserkerStance1","Self","1","ife_bersstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BerserkerStance2","BerserkerStance2","Self","2","ife_bersstance2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BindingCross1","BindingCross1","Harmful","1","ife_bindcross1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BindingCross2","BindingCross2","Harmful","2","ife_bindcross2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Bite1","Bite1","Harmful","1","ife_bite1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Bite2","Bite2","Harmful","2","ife_bite2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Bite3","Bite3","Harmful","3","ife_bite3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BladeVortex1","BladeVortex1","Harmful","1","ife_bladevortex1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BladeVortex2","BladeVortex2","Harmful","2","ife_bladevortex2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BlasterBeacon1","BlasterBeacon1","Harmful","1","ife_blstbcn1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BlasterBeacon2","BlasterBeacon2","Harmful","2","ife_blstbcn2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BlasterBeacon3","BlasterBeacon3","Harmful","3","ife_blstbcn3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BlazingSpikes1","BlazingSpikes1","Self","1","ife_blazspks1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BloodFrenzy1","BloodFrenzy1","Harmful","1","ife_bloodfrenzy1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BloodFrenzyFlurry","BloodFrenzyFlurry","Harmful","","ife_bldfrenflur","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BloodFrenzyFlurryTechnique","Blood Frenzy Flurry","Harmful","","ife_mbldfrenflur","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BolsterAttack1","BolsterAttack1","Beneficial","1","ife_bolstatk1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BolsterAttack2","BolsterAttack2","Beneficial","2","ife_bolstatk2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BolsterAttack3","BolsterAttack3","Beneficial","3","ife_bolstatk3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BombardierStance1","BombardierStance1","Self","1","ife_bombstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Bonecrusher1","Bonecrusher1","Harmful","1","ife_bonecrusher1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BonecrusherBiteTechnique","Bonecrusher Bite","Passive","","ife_mbonebite","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BraceBreaker","BraceBreaker","Control","","ife_bracebrk","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BraceBreakerTechnique","Brace Breaker","Control","","ife_mbracebrk","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BreakerStance1","BreakerStance1","Self","1","ife_brkrstnc1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BreakMorale1","BreakMorale1","Harmful","1","ife_breakmorale1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BreakMorale2","BreakMorale2","Harmful","2","ife_breakmorale2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","BrutalAssault1","BrutalAssault1","Beneficial","1","ife_brutassault1","SWLOR_Haks\sw_2da\feat.2da",""
