TrackerRow,Group,Perk,OriginalTestStatus,BibleTab,BibleRow,MetadataReview,CodePerk,AbilityEvidence,ReviewOutcome
2,Agriculture,Crop Management I,Not Testable,Agriculture,9,SKIP,,,"Not implemented in the Bible; metadata reviewed, no runtime implementation to certify."
3,Agriculture,Crop Management II,Not Testable,Agriculture,10,SKIP,,,"Not implemented in the Bible; metadata reviewed, no runtime implementation to certify."
4,Agriculture,Crop Management III,Not Testable,Agriculture,11,SKIP,,,"Not implemented in the Bible; metadata reviewed, no runtime implementation to certify."
5,Agriculture,Crop Management IV,Not Testable,Agriculture,12,SKIP,,,"Not implemented in the Bible; metadata reviewed, no runtime implementation to certify."
6,Agriculture,Crop Management V,Not Testable,Agriculture,13,SKIP,,,"Not implemented in the Bible; metadata reviewed, no runtime implementation to certify."
59,Beast Mastery,Blood Frenzy I,Retest,Beast Mastery,59,PASS,BeastBloodFrenzy/BeastDamage/Blood Frenzy rank 1,BeastBloodFrenzyTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
62,Beast Mastery,Blood Frenzy II,Retest,Beast Mastery,62,PASS,BeastBloodFrenzy/BeastDamage/Blood Frenzy rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
63,Beast Mastery,Execute Prey,Retest,Beast Mastery,63,PASS,ExecutePrey/BeastDamage/Execute Prey rank 1,ExecutePrey1: ExecutePreyAbilityDefinition.cs name='Execute Prey' level=1 skill=BeastMastery activation=Weapon FP=- STM=8 cast=0 cooldown=30,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
64,Beast Mastery,Apex Bite,Retest,Beast Mastery,64,PASS,ApexBite/BeastDamage/Apex Bite rank 1,ApexBite1: ApexBiteAbilityDefinition.cs name='Apex Bite' level=1 skill=BeastMastery activation=Weapon FP=- STM=10 cast=0 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
65,Beast Mastery,Iron Hide I,Not Tested,Beast Mastery,67,PASS,IronHide/BeastTank/Iron Hide rank 1,IronHide1: IronHideAbilityDefinition.cs name='Iron Hide I' level=1 skill=BeastMastery activation=Casted FP=- STM=3 cast=0 cooldown=18,AI checks the active buff rank instead of repeatedly recasting an equal or stronger buff.
66,Beast Mastery,Anger I,Not Tested,Beast Mastery,68,PASS,Anger/BeastTank/Anger rank 1,Anger1: AngerAbilityDefinition.cs name='Anger I' level=1 skill=BeastMastery activation=Casted FP=- STM=3 cast=0 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
67,Beast Mastery,Focus Attention I,Not Tested,Beast Mastery,69,PASS,FocusAttention/BeastTank/Focus Attention rank 1,FocusAttentionTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
68,Beast Mastery,Guarding Roar I,Not Tested,Beast Mastery,70,PASS,GuardingRoar/BeastTank/Guarding Roar rank 1,GuardingRoar1: GuardingRoarAbilityDefinition.cs name='Guarding Roar I' level=1 skill=BeastMastery activation=Casted FP=- STM=6 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
69,Beast Mastery,Iron Hide II,Not Tested,Beast Mastery,71,PASS,IronHide/BeastTank/Iron Hide rank 2,IronHide2: IronHideAbilityDefinition.cs name='Iron Hide II' level=2 skill=BeastMastery activation=Casted FP=- STM=4 cast=0 cooldown=18,AI checks the active buff rank instead of repeatedly recasting an equal or stronger buff.
70,Beast Mastery,Intercept I,Not Tested,Beast Mastery,72,PASS,Intercept/BeastTank/Intercept rank 1,Intercept1: InterceptAbilityDefinition.cs name='Intercept I' level=1 skill=BeastMastery activation=Casted FP=- STM=6 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
71,Beast Mastery,Focus Attention II,Not Tested,Beast Mastery,73,PASS,FocusAttention/BeastTank/Focus Attention rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
72,Beast Mastery,Anger II,Not Tested,Beast Mastery,74,PASS,Anger/BeastTank/Anger rank 2,Anger2: AngerAbilityDefinition.cs name='Anger II' level=2 skill=BeastMastery activation=Casted FP=- STM=5 cast=0 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
