Category,Name,PerkId,Type,Status,Reuse,CurrentPlayback,Reference,BibleAnimationRow,Description,DefinitionFiles,InternalName
Beast Mastery,Guarding Bond,GuardingBond,Stance,Installed,Shared activation candidate,FireForgetTaunt,,122,"While active, your beast gains +20% Defense, +20% Force Defense, takes 15% less damage, and generates +75% enmity. Only one stance may be active at a time.",SWLOR.Game.Server/Feature/AbilityDefinition/Beastmaster/GuardingBondAbilityDefinition.cs,sw_guardbond
Beast Mastery,Predatory Bond,PredatoryBond,Stance,Installed,Shared activation candidate,FireForgetTaunt,,123,"While active, your beast deals +25% damage, gains +15% haste and +10% ability accuracy, and generates 40% less enmity. Only one stance may be active at a time.",SWLOR.Game.Server/Feature/AbilityDefinition/Beastmaster/PredatoryBondAbilityDefinition.cs,sw_predbond
Beast Mastery,Revive Beast,ReviveBeast,Combat,Installed,,LoopingGetMid,https://chatgpt.com/s/m_6a4015e9342c81918df41e2ad4667952,108,Revives your pet with (45 + SOC)% HP.,SWLOR.Game.Server/Feature/AbilityDefinition/Beastmaster/ReviveBeastAbilityDefinition.cs,sw_revi_beas
Beast Mastery,Reward,Reward,Combat,Installed,,LoopingGetMid,https://chatgpt.com/s/m_6a401601906c8191a1857b907fdd51e6,106,"Restores 130 HP plus 20% of your pet's max HP, increased by 1% per SOC. Consumes a treat item on use.",SWLOR.Game.Server/Feature/AbilityDefinition/Beastmaster/RewardAbilityDefinition.cs,sw_reward
Beast Mastery,Soothe Pet,SoothePet,Combat,Installed,,LoopingGetMid,https://chatgpt.com/s/m_6a401621c730819199d06dd7f9d9ebfa,107,Removes debuffs from your pet.,SWLOR.Game.Server/Feature/AbilityDefinition/Beastmaster/SoothePetAbilityDefinition.cs,sw_soothepet
Beast Mastery,Tame,Tame,Combat,Installed,,LoopingGetMid,https://chatgpt.com/s/m_6a4015d8dfa8819192c3e4a893e20446,105,"Enables you to tame & train creatures between levels 0 and 50. Taming chance increases by 3% per SOC, capped at 75%.",SWLOR.Game.Server/Feature/AbilityDefinition/Beastmaster/CallBeastAbilityDefinition.cs; SWLOR.Game.Server/Feature/AbilityDefinition/Beastmaster/TameAbilityDefinition.cs,sw_tame
Devices,Adhesive Grenade,AdhesiveGrenade,Combat,Installed,,ThrowGrenade,https://chatgpt.com/s/m_6a400e9c692881918417ed815afebbf0,95,Slows enemies in a 4m blast for 12 seconds. Affects up to 5 targets. Consumes explosives.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/AdhesiveGrenadeAbilityDefinition.cs,sw_adhe_gren
Devices,Arc Projector,ArcProjector,Combat,Installed,,CastOutAnimation,,124,"Projects an overcharged electrical arc up to 15m, dealing 60 electrical DMG plus PER scaling to one target.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/ArcProjectorAbilityDefinition.cs,sw_arc_proje
Devices,Blaster Beacon,BlasterBeacon,Combat,Installed,,CastOutAnimation,https://chatgpt.com/s/m_6a401359343c81918ce3d5d9dc91bb4e,99,"Plants a visible 14m targeting sphere for 30 seconds. Every 3 seconds, one hostile target inside is hit by an automated ranged energy pulse for 10 physical DMG plus PER scaling.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/BlasterBeaconAbilityDefinition.cs,sw_blas_beac
Devices,Cluster Grenade,ClusterGrenade,Combat,Installed,,ThrowGrenade,https://chatgpt.com/s/m_6a400f1f20b08191b192bfb65246ba94,96,"Throws three adjacent grenades within 3m of the target point. Each grenade deals 18 fire DMG plus PER scaling in a 2m blast, and overlapping blasts can hit the same enemy. Consumes explosives.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/ClusterGrenadeAbilityDefinition.cs,sw_clus_gren
