Style	SP Price	Perk Name	Beast Level Req.	Type	Description	FP	STM	Casting Time	Cooldown Time	Dev Status	Additional Requirements	Notes
Damage	2	Bite I	5	Combat	The beast's next attack deals +12 physical DMG.	-	3	-	12 seconds	Design	Damage beast only	
Damage	2	Hunter's Focus I	8	Trait	The beast gains +5% hit chance and +5% critical chance.	-	-	-	-	Design	Damage beast only	
Damage	3	Rending Claw I	12	Combat	The beast's next attack deals +10 physical DMG and attempts DC10 Fortitude to inflict Bleed.	-	4	-	18 seconds	Design	Damage beast only	
Damage	3	Pounce I	15	Combat	The beast leaps to its target, deals +14 physical DMG, and interrupts activation.	-	5	-	30 seconds	Design	Damage beast only	
Damage	3	Bite II	18	Combat	The beast's next attack deals +22 physical DMG.	-	4	-	12 seconds	Design	Damage beast only	
Damage	3	Predator's Mark I	22	Combat	The beast marks one enemy for 15 seconds. The beast deals +10% damage to marked targets.	-	5	-	45 seconds	Design	Damage beast only	
Damage	2	Hunter's Focus II	25	Trait	The beast gains +10% hit chance and +10% critical chance.	-	-	-	-	Design	Damage beast only	
Damage	4	Rending Claw II	28	Combat	The beast's next attack deals +18 physical DMG and attempts DC12 Fortitude to inflict Bleed.	-	5	-	18 seconds	Design	Damage beast only	
Damage	3	Pounce II	30	Combat	The beast leaps to its target, deals +24 physical DMG, and interrupts activation.	-	6	-	30 seconds	Design	Damage beast only	
Damage	4	Expose Prey	35	Combat	The beast's next attack deals +20 physical DMG and attempts DC13 Reflex to inflict Exposed for 12 seconds.	-	7	-	45 seconds	Design	Damage beast only	
Damage	3	Bite III	38	Combat	The beast's next attack deals +36 physical DMG.	-	5	-	12 seconds	Design	Damage beast only	
Damage	3	Blood Frenzy I	40	Trait	When the beast damages a bleeding target, it has a 20% chance to restore 1 STM.	-	-	-	-	Design	Damage beast only	
Damage	4	Rending Claw III	42	Combat	The beast's next attack deals +28 physical DMG and attempts DC14 Fortitude to inflict Bleed.	-	7	-	18 seconds	Design	Damage beast only	
Damage	4	Predator Rush	45	Combat	The beast gains +20% Haste and +8% hit chance for 12 seconds.	-	8	-	75 seconds	Design	Damage beast only	
Damage	4	Blood Frenzy II	48	Trait	When the beast damages a bleeding target, it has a 30% chance to restore 1 STM.	-	-	-	-	Design	Damage beast only	
Damage	3	Execute Prey	50	Combat	The beast's next attack deals +30 physical DMG, increased by 50% against targets below 35% HP.	-	8	-	60 seconds	Design	Damage beast only	
Damage	5	Apex Bite	50	Combat	The beast's next attack deals heavy physical DMG and gains +25% critical chance.	-	10	-	2 minutes	Design	Damage beast only	Capstone.
Tank	2	Iron Hide I	5	Combat	The beast takes 5% less physical and force damage for 3 minutes.	-	3	-	30 seconds	Design	Tank beast only	
Tank	2	Anger I	8	Combat	Goads a single target into attacking the beast.	-	3	-	18 seconds	Design	Tank beast only	
Tank	3	Focus Attention I	12	Trait	The beast's enmity generation is increased by 15%.	-	-	-	-	Design	Tank beast only	
Tank	3	Guarding Roar I	15	Combat	Nearby enemies are goaded into attacking the beast and the beast takes 6% less physical damage for 10 seconds.	-	6	-	45 seconds	Design	Tank beast only	
Tank	3	Iron Hide II	18	Combat	The beast takes 8% less physical and force damage for 3 minutes.	-	4	-	30 seconds	Design	Tank beast only	
Tank	3	Intercept I	22	Combat	The beast redirects 35% of the next hit taken by its master within 8 seconds to itself.	-	6	-	45 seconds	Design	Tank beast only	
Tank	2	Focus Attention II	25	Trait	The beast's enmity generation is increased by 30%.	-	-	-	-	Design	Tank beast only	
Tank	4	Anger II	28	Combat	Goads a single target into attacking the beast and grants the beast temporary HP.	-	5	-	18 seconds	Design	Tank beast only	
Tank	3	Bodyguard's Resolve	30	Trait	The beast takes 10% less damage while its master is below 50% HP.	-	-	-	-	Design	Tank beast only	
Tank	4	Guarding Roar II	35	Combat	Nearby enemies are goaded into attacking the beast and the beast takes 10% less physical damage for 10 seconds.	-	8	-	45 seconds	Design	Tank beast only	
Tank	3	Iron Hide III	38	Combat	The beast takes 12% less physical and force damage for 3 minutes.	-	6	-	30 seconds	Design	Tank beast only	
Tank	3	Intercept II	40	Combat	The beast redirects 50% of the next hit taken by its master within 8 seconds to itself.	-	8	-	45 seconds	Design	Tank beast only	
Tank	4	Focus Attention III	42	Trait	The beast's enmity generation is increased by 45% and Anger cooldown is reduced by 3 seconds.	-	-	-	-	Design	Tank beast only	
Tank	4	Rampart Hide	45	Combat	The beast gains 20% damage reduction for 10 seconds.	-	9	-	90 seconds	Design	Tank beast only	
Tank	4	Guarding Roar III	48	Combat	Nearby enemies are goaded into attacking the beast and the beast takes 15% less physical damage for 12 seconds.	-	10	-	45 seconds	Design	Tank beast only	
Tank	3	Last Guardian	50	Trait	Once every 3 minutes, when the beast would fall below 1 HP, it remains at 1 HP and gains temporary HP.	-	-	-	-	Design	Tank beast only	
Tank	5	Unbreakable Beast	50	Combat	The beast becomes immune to knockdown, daze, and forced movement for 12 seconds and gains major damage reduction.	-	12	-	3 minutes	Design	Tank beast only	Capstone.
Balanced	2	Claw I	5	Combat	The beast's next attack deals +10 physical DMG and attempts DC10 Fortitude to inflict Bleed.	-	3	-	15 seconds	Design	Balanced beast only	
Balanced	2	Bolster Attack I	8	Combat	The beast deals 5% more damage for 3 minutes.	-	3	-	30 seconds	Design	Balanced beast only	Percentage modifier, no raw stat bump.
Balanced	3	Guarded Bite I	12	Combat	The beast's next attack deals +12 physical DMG and causes the beast to take 5% less physical damage for 10 seconds.	-	4	-	18 seconds	Design	Balanced beast only	
Balanced	3	Pack Rhythm I	15	Trait	When the beast uses an ability, its master gains +3% physical and force ability hit chance for 8 seconds.	-	-	-	-	Design	Balanced beast only	
Balanced	3	Claw II	18	Combat	The beast's next attack deals +18 physical DMG and attempts DC12 Fortitude to inflict Bleed.	-	4	-	15 seconds	Design	Balanced beast only	
Balanced	3	Hasten I	22	Combat	The beast gains +15% Haste for 18 seconds.	-	5	-	60 seconds	Design	Balanced beast only	
Balanced	2	Bolster Attack II	25	Combat	The beast deals 8% more damage for 3 minutes.	-	4	-	30 seconds	Design	Balanced beast only	Percentage modifier, no raw stat bump.
Balanced	4	Coordinated Strike I	28	Combat	The beast's next attack deals +18 physical DMG. If its master damaged the target within 6 seconds, damage increases by 25%.	-	5	-	24 seconds	Design	Balanced beast only	
Balanced	3	Guarded Bite II	30	Combat	The beast's next attack deals +22 physical DMG and causes the beast to take 8% less physical damage for 10 seconds.	-	5	-	18 seconds	Design	Balanced beast only	
Balanced	4	Pack Rhythm II	35	Trait	When the beast uses an ability, its master gains +6% physical and force ability hit chance for 8 seconds.	-	-	-	-	Design	Balanced beast only	
Balanced	3	Claw III	38	Combat	The beast's next attack deals +28 physical DMG and attempts DC14 Fortitude to inflict Bleed.	-	6	-	15 seconds	Design	Balanced beast only	
Balanced	3	Hasten II	40	Combat	The beast gains +25% Haste for 18 seconds.	-	7	-	60 seconds	Design	Balanced beast only	
Balanced	4	Bolster Attack III	42	Combat	The beast deals 12% more damage for 3 minutes.	-	6	-	30 seconds	Design	Balanced beast only	Percentage modifier, no raw stat bump.
Balanced	4	Coordinated Strike II	45	Combat	The beast's next attack deals +30 physical DMG. If its master damaged the target within 6 seconds, damage increases by 25%.	-	7	-	24 seconds	Design	Balanced beast only	
Balanced	4	Pack Recovery	48	Combat	The beast and its master each restore a small amount of STM.	-	8	-	90 seconds	Design	Balanced beast only	
Balanced	3	Guarded Bite III	50	Combat	The beast's next attack deals +34 physical DMG and causes the beast to take 12% less physical damage for 10 seconds.	-	8	-	18 seconds	Design	Balanced beast only	
Balanced	5	Alpha Rhythm	50	Combat	For 15 seconds, the beast deals 10% more damage and takes 10% less damage, and its master gains +8% physical and force ability hit chance.	-	10	-	2 minutes	Design	Balanced beast only	Capstone. Percentage modifiers only.
Bruiser	2	Poison Breath I	5	Combat	The beast breathes poison at hostile targets in a cone, dealing poison DMG and attempting DC10 Fortitude to inflict Poison.	-	4	-	24 seconds	Design	Bruiser beast only	Hostiles only. If cone AI remains unstable, implement as a hostile-only target-centered burst.
Bruiser	2	Ice Breath I	8	Combat	The beast breathes ice at hostile targets in a cone, dealing ice DMG and slowing affected enemies for 4 seconds.	-	4	-	24 seconds	Design	Bruiser beast only	Hostiles only. If cone AI remains unstable, implement as a hostile-only target-centered burst.
Bruiser	3	Crushing Slam I	12	Combat	The beast slams nearby hostile enemies for physical DMG and attempts DC10 Fortitude to daze for 2 seconds.	-	5	-	45 seconds	Design	Bruiser beast only	Hostiles only.
Bruiser	3	Endurance Link I	15	Trait	The beast has a 10% chance to restore 1 STM to its master when it lands an attack.	-	-	-	-	Design	Bruiser beast only	
Bruiser	3	Poison Breath II	18	Combat	The beast breathes poison at hostile targets in a cone, dealing increased poison DMG and attempting DC12 Fortitude to inflict Poison.	-	5	-	24 seconds	Design	Bruiser beast only	Hostiles only. If cone AI remains unstable, implement as a hostile-only target-centered burst.
Bruiser	3	Venomous Hide I	22	Trait	Enemies that damage the beast in melee have a 10% chance to suffer minor poison DMG.	-	-	-	-	Design	Bruiser beast only	
Bruiser	2	Ice Breath II	25	Combat	The beast breathes ice at hostile targets in a cone, dealing increased ice DMG and slowing affected enemies for 5 seconds.	-	5	-	24 seconds	Design	Bruiser beast only	Hostiles only. If cone AI remains unstable, implement as a hostile-only target-centered burst.
Bruiser	4	Crushing Slam II	28	Combat	The beast slams nearby hostile enemies for physical DMG and attempts DC12 Fortitude to daze for 2 seconds.	-	7	-	45 seconds	Design	Bruiser beast only	Hostiles only.
Bruiser	3	Endurance Link II	30	Trait	The beast has a 20% chance to restore 1 STM to its master when it lands an attack.	-	-	-	-	Design	Bruiser beast only	
Bruiser	4	Rampage I	35	Combat	The beast attacks up to 3 nearby hostile enemies for physical DMG.	-	7	-	45 seconds	Design	Bruiser beast only	Hostiles only.
