Style	SP Price	Perk Name	Skill Reqs.	Char. Type	Type	Description	FP	STM	Casting Time	Cooldown Time	Dev Status	Additional Requirements	Notes
Grenadier	2	Frag Grenade I	-	Standard	Combat	Deals 18 fire DMG plus PER scaling to enemies in a 3m blast. Consumes explosives.	-	2	1 second	12 seconds	Design		Thrown active combat explosive.
Grenadier	2	Blast Radius I	Devices 5	Standard	Trait	Grenade abilities gain +0.5m blast radius.	-	-	-	-	Design		Replaces resource-saving SP tax with tactical area scaling.
Grenadier	3	Concussion Grenade I	Devices 8	Standard	Combat	Deals 14 electrical DMG plus PER scaling in a 3m blast and attempts DC10 Reflex to knock down for 2 seconds.	-	3	1 second	24 seconds	Design		
Grenadier	3	Flash Grenade I	Devices 12	Standard	Combat	Attempts DC12 Reflex to inflict Flash, reducing physical and force ability hit chance by 8% for 20 seconds in a 4m blast. Consumes explosives.	-	2	1 second	24 seconds	Design		
Grenadier	3	Frag Grenade II	Devices 15	Standard	Combat	Deals 32 fire DMG plus PER scaling to enemies in a 3m blast and attempts DC12 Reflex to inflict Bleed.	-	3	1 second	12 seconds	Design		
Grenadier	3	Ion Grenade I	Devices 18	Standard	Combat	Deals 20 electrical DMG plus PER scaling in a 3m blast. Deals 50% bonus damage to droids. Consumes explosives.	-	3	1 second	18 seconds	Design		
Grenadier	2	Blast Radius II	Devices 22	Standard	Trait	Grenade abilities gain +1m blast radius.	-	-	-	-	Design		
Grenadier	4	Adhesive Grenade I	Devices 25	Standard	Combat	Attempts DC12 Fortitude to slow enemies in a 4m blast for 6 seconds. On failed save by 5 or more, immobilizes for 3 seconds.	-	4	1 second	30 seconds	Design		
Grenadier	3	Concussion Grenade II	Devices 28	Standard	Combat	Deals 28 electrical DMG plus PER scaling in a 3m blast and attempts DC13 Reflex to knock down for 2 seconds.	-	4	1 second	24 seconds	Design		
Grenadier	4	Cluster Grenade	Devices 30	Standard	Combat	Throws three small grenades at nearby enemies, each dealing 18 fire DMG plus PER scaling in a small blast.	-	5	1 second	45 seconds	Design		
Grenadier	3	Flash Grenade II	Devices 35	Standard	Combat	Attempts DC14 Reflex to inflict Flash, reducing physical and force ability hit chance by 14% for 20 seconds in a 4m blast. Consumes explosives.	-	3	1 second	24 seconds	Design		
Grenadier	3	Ion Grenade II	Devices 38	Standard	Combat	Deals 34 electrical DMG plus PER scaling in a 3m blast. Deals 60% bonus damage to droids and attempts DC14 Fortitude to Shock.	-	5	1 second	18 seconds	Design		
Grenadier	4	Frag Grenade III	Devices 40	Standard	Combat	Deals 48 fire DMG plus PER scaling to enemies in a 3m blast and attempts DC14 Reflex to inflict Bleed.	-	5	1 second	12 seconds	Design		
Grenadier	4	Adhesive Grenade II	Devices 42	Standard	Combat	Attempts DC14 Fortitude to slow enemies in a 4m blast for 8 seconds. On failed save by 5 or more, immobilizes for 4 seconds.	-	5	1 second	30 seconds	Design		
Grenadier	4	Blast Radius III	Devices 45	Standard	Trait	Grenade abilities gain +1.5m blast radius and Flash Grenade and Adhesive Grenade save DCs are 5% stronger.	-	-	-	-	Design		Radius scaling only; no credit-saver perk tax.
Grenadier	3	Concussion Grenade III	Devices 48	Standard	Combat	Deals 42 electrical DMG plus PER scaling in a 3m blast and attempts DC15 Reflex to knock down for 3 seconds.	-	6	1 second	24 seconds	Design		
Grenadier	5	Thermal Detonator	Devices 50	Standard	Combat	Deals heavy fire DMG plus PER scaling in a 5m blast and inflicts Burning on failed DC16 Reflex. Consumes extra explosives.	-	8	1.5 seconds	2 minutes	Design		Line capstone.
Field Engineer	2	Blaster Turret I	-	Standard	Combat	Deploys an immobile turret for 24 seconds that fires at hostile targets within 12m for ranged energy DMG plus PER scaling.	-	3	1.5 seconds	45 seconds	Design		Defensive station. Turret attacks hostiles only.
Field Engineer	2	Turret Targeting I	Devices 5	Standard	Trait	Turrets gain +5% hit chance and +5% critical chance.	-	-	-	-	Design		Folded in from old Droidbreaker targeting concept.
Field Engineer	3	Incendiary Field I	Devices 8	Standard	Combat	Deploys a visible fire field for 12 seconds. Enemies inside take fire DMG plus PER scaling every 3 seconds.	-	4	1.5 seconds	60 seconds	Design		
Field Engineer	3	Remote Charge I	Devices 12	Standard	Combat	Arms a visible charge at your target location that detonates after 3 seconds for fire DMG plus PER scaling.	-	4	1 second	30 seconds	Design		Not stealthy and cannot persist out of combat.
Field Engineer	3	Blaster Turret II	Devices 15	Standard	Combat	Deploys an immobile turret for 27 seconds that fires at hostile targets within 12m for increased ranged energy DMG plus PER scaling.	-	4	1.5 seconds	45 seconds	Design		Defensive station. Turret attacks hostiles only.
Field Engineer	3	Repair Pulse I	Devices 18	Standard	Combat	Restores moderate HP to one friendly deployable, droid, or mechanical ally.	-	3	1 second	18 seconds	Design		Mechanical support, not organic healing.
Field Engineer	2	Turret Targeting II	Devices 22	Standard	Trait	Turrets gain +10% hit chance, +10% critical chance, and +15% HP.	-	-	-	-	Design		
