Style	SP Price	Perk Name	Skill Reqs.	Char. Type	Type	Description	FP	STM	Casting Time	Cooldown Time	Dev Status	Additional Requirements	Notes
Infiltrator	2	Stealth I	-	All	Combat	Enter stealth, increasing stealth effectiveness by 15% while active. Drains STM over time and breaks on hostile action.	-	-	1 second	12 seconds	Design		Available to all character types.
Infiltrator	2	Back Attack I	Espionage 5	All	Trait	Weapon attacks from behind a target deal +4% damage.	-	-	-	-	Design		
Infiltrator	3	Slicing I	Espionage 8	All	Trait	Can pick and hack tier 1 locks and terminals.	-	-	-	-	Design		
Infiltrator	3	Tactical Escape I	Espionage 12	All	Combat	Reduces your enmity by 35% and increases evasion chance by 8% for 8 seconds.	-	8	-	2 minutes	Design		
Infiltrator	3	Stealth II	Espionage 15	All	Combat	Enter stealth, increasing stealth effectiveness by 25% while active. Drains STM over time and breaks on hostile action.	-	-	1 second	12 seconds	Design		
Infiltrator	3	Back Attack II	Espionage 18	All	Trait	Weapon attacks from behind a target deal +8% damage and gain +5% critical chance.	-	-	-	-	Design		
Infiltrator	2	Slicing II	Espionage 22	All	Trait	Can pick and hack tier 2 locks and terminals.	-	-	-	-	Design		
Infiltrator	4	Shadow Step I	Espionage 25	All	Combat	Dash behind a nearby hostile target and increase evasion chance by 10% for 6 seconds. Does not grant invisibility.	-	10	-	45 seconds	Design		
Infiltrator	3	Stealth III	Espionage 28	All	Combat	Enter stealth, increasing stealth effectiveness by 35% while active. Drains STM over time and breaks on hostile action.	-	-	1 second	12 seconds	Design		
Infiltrator	4	Slicing III	Espionage 30	All	Trait	Can pick and hack tier 3 locks and terminals. Hacking actions are 20% faster.	-	-	-	-	Design		
Infiltrator	3	Tactical Escape II	Espionage 35	All	Combat	Reduces your enmity by 60%, removes movement slow, and increases evasion chance by 12% for 8 seconds.	-	12	-	2 minutes	Design		
Infiltrator	3	Back Attack III	Espionage 38	All	Trait	Weapon attacks from behind a target deal +12% damage and gain +10% critical chance.	-	-	-	-	Design		
Infiltrator	4	Stealth IV	Espionage 40	All	Combat	Enter stealth, increasing stealth effectiveness by 45% while active. Drains STM over time and breaks on hostile action.	-	-	1 second	12 seconds	Design		
Infiltrator	4	Slicing IV	Espionage 42	All	Trait	Can pick and hack tier 4 locks and terminals. Hacking actions are 30% faster.	-	-	-	-	Design		
Infiltrator	4	Shadow Step II	Espionage 45	All	Combat	Dash behind a nearby hostile target, cleanse movement impairing effects, and increase evasion chance by 15% for 8 seconds.	-	14	-	45 seconds	Design		
Infiltrator	3	Slicing V	Espionage 48	All	Trait	Can pick and hack tier 5 locks and terminals. Hacking actions are 40% faster.	-	-	-	-	Design		
Infiltrator	5	Ghost Protocol	Espionage 50	All	Combat	Drop most enmity, enter stealth for up to 6 seconds, and cause your next back attack within 10 seconds to inflict Exposed.	-	18	-	3 minutes	Design		Line capstone.
Saboteur	2	Poisoncraft I	-	All	Trait	Can craft and apply tier 1 weapon poisons.	-	-	-	-	Design		
Saboteur	2	Trapcraft I	Espionage 5	All	Trait	Can craft, place, detect, and disarm tier 1 traps.	-	-	-	-	Design		Traps are Espionage only.
Saboteur	3	Venom Expertise I	Espionage 8	All	Trait	Weapon poisons applied by you deal 10% more damage or last 10% longer, based on poison type.	-	-	-	-	Design		
Saboteur	3	Razor Trap I	Espionage 12	All	Combat	Places a visible trap that arms after 3 seconds. Triggered enemies take physical DMG and make DC10 Reflex or Bleed.	-	5	2 seconds	20 seconds	Design		Trap limit applies.
Saboteur	3	Poisoncraft II	Espionage 15	All	Trait	Can craft and apply tier 2 weapon poisons.	-	-	-	-	Design		
Saboteur	3	Trapcraft II	Espionage 18	All	Trait	Can craft, place, detect, and disarm tier 2 traps.	-	-	-	-	Design		
Saboteur	2	Trap Management I	Espionage 22	All	Trait	Increases maximum concurrent traps to 2.	-	-	-	-	Design		
Saboteur	4	Shock Trap I	Espionage 25	All	Combat	Places a visible trap that arms after 3 seconds. Triggered enemies take electrical DMG and make DC12 Reflex or suffer Shock.	-	6	2 seconds	30 seconds	Design		
Saboteur	3	Poisoncraft III	Espionage 28	All	Trait	Can craft and apply tier 3 weapon poisons.	-	-	-	-	Design		
Saboteur	4	Trapcraft III	Espionage 30	All	Trait	Can craft, place, detect, and disarm tier 3 traps. Trap placement is 20% faster.	-	-	-	-	Design		
Saboteur	3	Venom Expertise II	Espionage 35	All	Trait	Weapon poisons applied by you deal 20% more damage or last 20% longer, based on poison type.	-	-	-	-	Design		
Saboteur	3	Razor Trap II	Espionage 38	All	Combat	Places a visible trap that arms after 3 seconds. Triggered enemies take physical DMG and make DC14 Reflex or Bleed.	-	7	2 seconds	20 seconds	Design		
Saboteur	4	Poisoncraft IV	Espionage 40	All	Trait	Can craft and apply tier 4 weapon poisons.	-	-	-	-	Design		
Saboteur	4	Trap Management II	Espionage 42	All	Trait	Increases maximum concurrent traps to 3 and improves trap detection range.	-	-	-	-	Design		
Saboteur	4	Trapcraft IV	Espionage 45	All	Trait	Can craft, place, detect, and disarm tier 4 traps. Trap placement is 30% faster.	-	-	-	-	Design		
Saboteur	3	Poisoncraft V	Espionage 48	All	Trait	Can craft and apply tier 5 weapon poisons.	-	-	-	-	Design		
Saboteur	5	Master Saboteur	Espionage 50	All	Trait	Can craft, place, detect, and disarm tier 5 traps. Your trap save DCs are 10% stronger and your poisons gain +10% potency.	-	-	-	-	Design		Line capstone.
