Style	SP Price	Perk Name	Skill Reqs.	Char. Type	Type	Alignment	Affinity Shift	Description	FP	STM	Casting Time	Cooldown Time	Dev Status	Additional Requirements	Notes
Light Guardian	2	Guardian Ward I	-	Force	Combat	Light	+1	Grants a single ally temporary HP equal to 6% of the target's maximum HP plus WIL scaling for 30 seconds.	2	-	1 second	18 seconds	Design		Uses Light affinity magnitude.
Light Guardian	2	Force Push I	Force 5	Force	Combat	Universal	0	Attempts to knock down one target for 2 seconds with DC10 Fortitude. On resist, slows movement for 3 seconds.	2	-	-	24 seconds	Design		Universal power; no affinity scaling.
Light Guardian	3	Guardian Ward II	Force 8	Force	Combat	Light	+1	Grants a single ally temporary HP equal to 9% of the target's maximum HP plus WIL scaling for 30 seconds.	3	-	1 second	18 seconds	Design		Replaces long passive defensive upkeep.
Light Guardian	3	Deflective Presence	Force 12	Force	Trait	Light	+1	While a one-handed lightsaber or vibroblade is equipped, Light Guardian combat powers increase attack deflection effectiveness by 8% for 10 seconds.	-	-	-	-	Design		Encourages defensive hybrid melee without raw stat bumps.
Light Guardian	3	Force Leap I	Force 15	Force	Combat	Universal	0	Leap to a hostile target up to 15m away, dealing 10 force DMG plus WIL scaling and interrupting activation.	3	-	-	30 seconds	Design		Universal power; no affinity shift.
Light Guardian	3	Soothing Guard I	Force 18	Force	Combat	Light	+1	Removes one poison, bleed, burn, shock, or disease effect from an ally and grants 10% damage reduction for 8 seconds.	4	-	1 second	36 seconds	Design		First Aid remains better at broad cleansing.
Light Guardian	2	Force Push II	Force 22	Force	Combat	Universal	0	Attempts to knock down up to 2 targets in a line for 2 seconds with DC12 Fortitude. On resist, slows movement for 3 seconds.	3	-	-	24 seconds	Design		Universal power; no affinity scaling.
Light Guardian	4	Guardian Ward III	Force 25	Force	Combat	Light	+1	Grants a single ally temporary HP equal to 12% of the target's maximum HP plus WIL scaling for 30 seconds.	4	-	1 second	18 seconds	Design		Light affinity affects shield magnitude.
Light Guardian	3	Aura of Courage	Force 28	Force	Combat	Light	+1	Nearby party members take 5% less force damage and gain +10% resistance to fear, daze, and confusion for 30 seconds.	5	-	1 second	60 seconds	Design		Percentage mitigation, no raw stat bump.
Light Guardian	4	Force Intercept	Force 30	Force	Combat	Light	+1	Leap to an ally up to 15m away and absorb 50% of the next hit they take within 8 seconds.	5	-	-	45 seconds	Design		Cannot target self.
Light Guardian	3	Force Leap II	Force 35	Force	Combat	Universal	0	Leap to a hostile target up to 18m away, dealing 18 force DMG plus WIL scaling and interrupting activation.	4	-	-	30 seconds	Design		Universal power; no affinity shift.
Light Guardian	3	Reflective Barrier	Force 38	Force	Combat	Light	+1	Grants a single ally a barrier for 20 seconds. While active, 15% of force and energy damage taken is reflected to the attacker.	5	-	1 second	75 seconds	Design		Reflection scales with Light affinity.
Light Guardian	4	Purifying Wave	Force 40	Force	Combat	Light	+1	Removes one major negative effect from nearby allies and restores a small amount of HP.	7	-	1.5 seconds	90 seconds	Design		Weaker healing than First Aid recovery tools.
Light Guardian	4	Guardian Ward IV	Force 42	Force	Combat	Light	+1	Grants a single ally temporary HP equal to 15% of the target's maximum HP plus WIL scaling for 30 seconds.	6	-	1 second	18 seconds	Design		Light affinity affects shield magnitude.
Light Guardian	4	Bastion of Light	Force 45	Force	Combat	Light	+1	Nearby allies gain temporary HP and take 10% less force damage for 20 seconds.	8	-	1.5 seconds	2 minutes	Design		Party defensive cooldown.
Light Guardian	3	Force Push III	Force 48	Force	Combat	Universal	0	Attempts to knock down up to 3 targets in a cone for 2 seconds with DC14 Fortitude. On resist, slows movement for 4 seconds.	4	-	-	24 seconds	Design		Universal power; no affinity scaling.
Light Guardian	5	Last Stand of the Light	Force 50	Force	Combat	Light	+1	For 12 seconds, damage that would drop the target below 1 HP is prevented once and the target gains temporary HP equal to 20% of maximum HP plus WIL scaling.	10	-	1.5 seconds	5 minutes	Design		Light affinity affects shield magnitude, not the death prevention trigger.
Light Consular	2	Benevolence I	-	Force	Combat	Light	+1	Restores 8% of the target's maximum HP plus WIL scaling to a single target. Healing is 25% stronger when targeting someone other than yourself.	3	-	1 second	8 seconds	Design		Below First Aid burst healing at comparable tier.
Light Consular	2	Pacify I	Force 5	Force	Combat	Light	+1	Attempts DC10 Will to reduce a target's outgoing weapon and force damage by 5% for 20 seconds.	3	-	1 second	24 seconds	Design		Light debuff, not hard CC.
Light Consular	3	Renewal I	Force 8	Force	Combat	Light	+1	Applies regeneration to a single ally, restoring 2% of maximum HP plus WIL scaling every 3 seconds for 18 seconds.	4	-	1 second	24 seconds	Design		Light affinity affects total healing.
Light Consular	3	Clarity I	Force 12	Force	Combat	Light	+1	Restores 10% of maximum STM to an ally and increases physical and force ability hit chance by 4% for 15 seconds. Self-target restores FP instead.	4	-	1 second	45 seconds	Design		Resource support without raw stat bumps.
Light Consular	3	Mind Trick I	Force 15	Force	Combat	Universal	0	Attempts DC12 Will to confuse one non-mechanical target for 5 seconds.	4	-	1 second	60 seconds	Design		Universal power; no affinity scaling.
Light Consular	3	Benevolence II	Force 18	Force	Combat	Light	+1	Restores 14% of the target's maximum HP plus WIL scaling to a single target. Healing is 25% stronger when targeting someone other than yourself.	5	-	1 second	8 seconds	Design		First Aid remains the top recovery line.
Light Consular	2	Comprehend Speech	Force 22	Force	Combat	Universal	0	For 15 minutes, you count as having 15 additional ranks in all languages for understanding spoken speech.	2	-	-	30 seconds	Design		Utility version with no concentration.
Light Consular	4	Renewal II	Force 25	Force	Combat	Light	+1	Applies regeneration to a single ally, restoring 3% of maximum HP plus WIL scaling every 3 seconds for 18 seconds.	5	-	1 second	24 seconds	Design		Does not stack with First Aid Infusion.
Light Consular	3	Pacify II	Force 28	Force	Combat	Light	+1	Attempts DC12 Will to reduce up to 2 nearby enemies' outgoing weapon and force damage by 8% for 20 seconds.	5	-	1 second	24 seconds	Design		Light affinity adjusts DC.
Light Consular	4	Force Mend	Force 30	Force	Combat	Light	+1	Removes one major negative effect from a single ally and restores moderate HP.	6	-	1 second	30 seconds	Design		First Aid has broader and cheaper cleanse access.
Light Consular	3	Mind Trick II	Force 35	Force	Combat	Universal	0	Attempts DC14 Will to confuse up to 2 non-mechanical targets for 5 seconds.	5	-	1 second	60 seconds	Design		Universal power; no affinity scaling.
Light Consular	3	Clarity II	Force 38	Force	Combat	Light	+1	Restores 18% of maximum STM to an ally and increases physical and force ability hit chance by 6% for 15 seconds. Self-target restores FP instead.	6	-	1 second	45 seconds	Design		Resource support without raw stat bumps.
Light Consular	4	Force Sanctuary	Force 40	Force	Combat	Light	+1	Creates a 4m sanctuary for 18 seconds. Allies inside gain minor regeneration and take 5% less force damage.	8	-	1.5 seconds	90 seconds	Design		Zone support, lower healing than First Aid.
Light Consular	4	Benevolence III	Force 42	Force	Combat	Light	+1	Restores 20% of the target's maximum HP plus WIL scaling to a single target. Healing is 25% stronger when targeting someone other than yourself.	7	-	1 second	8 seconds	Design		Kept below high-tier med kit burst.
Light Consular	4	Renewal III	Force 45	Force	Combat	Light	+1	Applies regeneration to a single ally, restoring 4% of maximum HP plus WIL scaling every 3 seconds for 18 seconds.	7	-	1 second	24 seconds	Design		Does not stack with First Aid Infusion.
Light Consular	3	Pacify III	Force 48	Force	Combat	Light	+1	Attempts DC14 Will to reduce nearby enemies' outgoing weapon and force damage by 12% for 20 seconds.	7	-	1 second	30 seconds	Design		Light affinity adjusts DC.
Light Consular	5	Circle of Harmony	Force 50	Force	Combat	Light	+1	Restores moderate HP to nearby allies, removes one minor negative effect, and grants minor FP and STM regeneration for 18 seconds.	10	-	1.5 seconds	2 minutes	Design		Strong support cooldown, still below First Aid in focused recovery.
Dark Ravager	2	Force Spark I	-	Force	Combat	Dark	-1	Deals 18 force DMG plus WIL scaling to one target and attempts DC10 Fortitude to reduce evasion chance by 4% for 20 seconds.	3	-	1 second	6 seconds	Design		Dark affinity affects damage and DC.
Dark Ravager	2	Force Body I	Force 5	Force	Combat	Dark	-1	For 30 seconds, your damaging Dark powers restore minor FP but each cast costs a small amount of HP.	2	-	-	3 minutes	Design		HP cost prevents free sustain loops.
Dark Ravager	3	Force Lightning I	Force 8	Force	Combat	Dark	-1	Deals 14 electrical force DMG plus WIL scaling to up to 3 targets.	4	-	1.5 seconds	24 seconds	Design		Dark AoE baseline.
Dark Ravager	3	Force Drain I	Force 12	Force	Combat	Dark	-1	Deals 16 force DMG plus WIL scaling and heals you for 35% of damage dealt.	4	-	1 second	18 seconds	Design		Lower direct healing than First Aid.
Dark Ravager	3	Saber Rend I	Force 15	Force	Combat	Universal	0	Your next melee attack deals +12 force DMG plus WIL scaling. Requires a melee weapon.	3	1	-	18 seconds	Design		Universal melee hybrid tool.
Dark Ravager	3	Force Rage I	Force 18	Force	Combat	Dark	-1	Increases outgoing weapon and force damage by 8% and critical damage by 10% for 20 seconds, but increases damage taken by 5%.	5	-	-	60 seconds	Design		Percentage combat modifiers only.
Dark Ravager	2	Force Spark II	Force 22	Force	Combat	Dark	-1	Deals 32 force DMG plus WIL scaling to one target and attempts DC12 Fortitude to reduce evasion chance by 6% for 20 seconds.	4	-	1 second	6 seconds	Design		Dark affinity affects damage and DC.
Dark Ravager	4	Force Lightning II	Force 25	Force	Combat	Dark	-1	Deals 24 electrical force DMG plus WIL scaling to up to 4 targets.	6	-	1.5 seconds	24 seconds	Design		High FP AoE.
Dark Ravager	3	Force Drain II	Force 28	Force	Combat	Dark	-1	Deals 28 force DMG plus WIL scaling and heals you for 40% of damage dealt.	6	-	1 second	18 seconds	Design		Drain healing scales with Dark affinity.
Dark Ravager	4	Devouring Strike	Force 30	Force	Combat	Dark	-1	Deals force DMG to one target. If the target is below 35% HP, damage is increased by 40%.	7	-	1 second	30 seconds	Design		Execute-style Dark damage.
Dark Ravager	3	Saber Rend II	Force 35	Force	Combat	Universal	0	Your next melee attack deals +24 force DMG plus WIL scaling. Requires a melee weapon.	4	2	-	18 seconds	Design		Universal melee hybrid tool.
Dark Ravager	3	Force Body II	Force 38	Force	Combat	Dark	-1	For 30 seconds, damaging Dark powers restore FP. Each cast costs HP, reduced when you damage a target below 50% HP.	4	-	-	3 minutes	Design		HP cost prevents free sustain loops.
Dark Ravager	4	Force Maelstrom	Force 40	Force	Combat	Dark	-1	Deals force DMG to nearby enemies and pulls them slightly toward you.	8	-	1.5 seconds	75 seconds	Design		Damage plus positioning, no hard disable.
Dark Ravager	4	Force Drain III	Force 42	Force	Combat	Dark	-1	Deals 44 force DMG plus WIL scaling and heals you for 45% of damage dealt.	8	-	1 second	18 seconds	Design		Drain healing scales with Dark affinity.
Dark Ravager	4	Force Rage II	Force 45	Force	Combat	Dark	-1	Increases outgoing weapon and force damage by 14% and critical damage by 15% for 20 seconds, but increases damage taken by 8%.	8	-	-	60 seconds	Design		Percentage combat modifiers only.
Dark Ravager	3	Force Spark III	Force 48	Force	Combat	Dark	-1	Deals 50 force DMG plus WIL scaling to one target and attempts DC14 Fortitude to reduce evasion chance by 8% for 20 seconds.	6	-	1 second	6 seconds	Design		Dark affinity affects damage and DC.
Dark Ravager	5	Hunger of the Dark	Force 50	Force	Combat	Dark	-1	For 12 seconds, Dark damage you deal heals you for 25% of damage dealt and defeated enemies restore FP.	10	-	-	3 minutes	Design		Capstone sustain window, not a permanent mode.
Dark Manipulator	2	Creeping Terror I	-	Force	Combat	Dark	-1	Attempts DC10 Will to hobble one target for 6 seconds and applies minor force damage over time for 18 seconds.	4	-	1 second	30 seconds	Design		Dark affinity affects DoT and DC.
Dark Manipulator	2	Force Grip I	Force 5	Force	Combat	Dark	-1	Attempts DC10 Fortitude to immobilize one target for 3 seconds and interrupt activation.	4	-	1 second	36 seconds	Design		Short hard control.
Dark Manipulator	3	Weaken Resolve I	Force 8	Force	Combat	Dark	-1	Attempts DC10 Will to increase force damage taken by 5% for 24 seconds.	3	-	1 second	18 seconds	Design		Set-up debuff for Force parties.
Dark Manipulator	3	Fracture Focus I	Force 12	Force	Combat	Dark	-1	Attempts DC12 Will to increase one target's FP and STM ability costs by 20% for 12 seconds.	5	-	1 second	45 seconds	Design		Replaces concentration disruption.
